scenario_id,region_name,location_address,complainant_location_text,smell_type,smell_intensity,smell_duration,suspected_location_text,out__claude-opus-4-8
1,경상도,예천군,경북도청 아이파크,접착제 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 예천군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 경북도청 아이파크 사는데예, 아까부터 이상한 냄새가 자꾸 나가꼬 전화 드렸심더.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그기 뭐랄까, 딱 본드 냄새라예. 접착제 있잖심꺼, 그 코 찌르는 그런 냄새가 확 올라오는 기라예.

상담원: 접착제 냄새라는 말씀이시군요. 지금 계신 위치가 경북도청 아이파크 단지 안이 맞으실까요?

민원인: 예예, 아이파크 아파트 안이라예. 창문 열어놨다가 냄새 때매 급하게 다시 닫았심더. 머리가 다 띵하네예.

상담원: 그러셨군요. 혹시 냄새가 조금씩 약해지거나 더 심해지는 변화가 있으셨나요?

민원인: 그거는 잘 모리겠고예, 그냥 계속 나는 거 같기도 하고. 하도 신경 쓰이가 언제부터라꼬 딱 짚기가 힘드네예.

상담원: 알겠습니다. 혹시 냄새가 어느 방향에서 오는지, 짐작 가는 곳이 있으실까요?

민원인: 그것도 확실치가 않심더. 어데서 오는동 도무지 모리겠어예. 하도 답답해가 이래 전화한 기라예.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
2,전라도,영광군,홍농해주아파트 앞,생선 내장 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 영광군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여그 홍농해주아파트 앞인디요, 냄새가 아주 코를 찔러부러서 전화혔어라. 도저히 못 참겄당께.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주실 수 있을까요?

민원인: 뭣이냐, 생선 내장 썩은 냄새 있잖소. 비린내가 아조 진동을 헌디, 속이 다 울렁거려부러.

상담원: 생선 내장 냄새 말씀이시군요. 지금 계신 위치가 홍농해주아파트 앞이 맞으실까요?

민원인: 그라제, 아파트 정문 바로 앞이랑께. 창문을 못 열겄어. 열먼 바로 그 비린내가 훅 들어와부러서.

상담원: 알겠습니다. 그 냄새가 시간에 따라 강해지거나 약해지는 변화가 있으신가요?

민원인: 글씨, 그것꺼정은 잘 모르겄네. 그냥 지금 딱 나가본께 확 나드만.

상담원: 그러시군요. 혹시 냄새가 어디쯤에서 나는 것 같은지 짐작 가는 곳이 있으실까요?

민원인: 그것도 딱 어디랄 것도 없이 그냥 사방이 다 비린내여라. 근처 어디서 나는가 싶은디 정확히는 모르겄당께.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
3,제주도,제주시,덕진9차아파트 맞은편,윤활유 냄새,미언급,오후 4시부터 한 시간 넘게 계속,미언급,"상담원: 안녕하세요. 제주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 냄새가 하도 심허난 전화 걸엄수다. 무신 기름 냄새 같은 게 코를 찔러부난 견디질 못허쿠다.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 좀 더 자세히 말씀해 주시겠어요?

민원인: 자동차 정비소에서 나는 것추룩 윤활유 냄새라마씸. 기름 끈적한 그 냄새가 자꾸 올라왐수다.

상담원: 윤활유 냄새시군요. 지금 계신 위치가 어디쯤인지 알려 주시겠어요?

민원인: 예, 덕진9차아파트 맞은편이우다. 딱 그 앞에 사는디 창문도 못 열엄수게.

상담원: 위치 확인했습니다. 혹시 냄새가 처음보다 더 심해지거나 옅어지는 변화가 있으신가요?

민원인: 강도는 잘 모르쿠다. 그냥 계속 나는디 언제 시작했나 헤보난 오후 네 시쯤부터 한 시간 넘게 계속 나염수다. 도무지 멈추질 안 헴수다.

상담원: 알겠습니다. 혹시 냄새가 어느 방향에서 나는지 짐작 가시는 곳이 있으신가요?

민원인: 그건 잘 모르쿠다양. 어디서 오는 건지 도통 감이 안 잡혀부난 답답허우다. 얼른 좀 알아봐 줍서.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
4,충청도,청주청원구,"럭키1,2차아파트 맞은편",신나 냄새,비 오기 전에 더 심해짐,수개월째 매일 저녁 7시부터 밤 10시 사이,미언급,"상담원: 안녕하세요. 청주시 청원구 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아유, 여기 냄새 땜에 미치겄슈. 저녁만 되믄 어디서 이상한 냄새가 올라오는디 도저히 못 살겄네유.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그게 무슨 신나 냄새 같은 거유. 페인트칠할 때 나는 그런 독한 냄새 있잖유. 코가 다 아프구먼유.

상담원: 신나 냄새 같은 화학 약품 냄새라는 말씀이시군요. 지금 계신 위치가 어디쯤 되실까요?

민원인: 여기 럭키1, 2차 아파트 있잖유. 그 맞은편에 살구 있슈. 밤마다 창문도 못 열구 답답혀 죽겄어유.

상담원: 위치 확인했습니다. 혹시 냄새 강도가 특정한 날에 더 심해지거나 하는 경우가 있으신가요?

민원인: 비 오기 전날 되믄 훨씬 더 독혀유. 날 궂을 때는 아주 머리가 띵할 정도라니께유.

상담원: 그렇군요. 그럼 이런 냄새가 주로 언제쯤 나는지 시간대도 알려주시겠어요?

민원인: 벌써 몇 달째 이러는디, 매일 저녁 일곱 시쯤부터 밤 열 시까지 계속 나유. 하루이틀도 아니구 아주 지쳤슈.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
5,강원도,원주시,명륜현대1차아파트,음식물 쓰레기 냄새,새벽에 특히 심해짐,미언급,미언급,"상담원: 안녕하세요. 원주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 저 원주 명륜현대1차아파트 사는 사람인데요, 요새 냄새 때문에 도저히 못 살겠소. 좀 어떻게 해줘야 되잖소.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새가 나는지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그게 음식물 쓰레기 냄새라요. 뭐 상한 반찬 썩는 그런 시큼한 냄새가 확 올라오는 게, 아주 속이 다 뒤집힐라 그러오.

상담원: 알겠습니다. 지금 계신 위치가 명륜현대1차아파트가 맞으실까요? 동이나 층수도 확인 가능하시면 알려 주세요.

민원인: 예, 명륜현대1차 맞래요. 저는 저층에 사는데, 창문만 열면 그 냄새가 안방까지 다 들어오잖소.

상담원: 그러시군요. 혹시 냄새가 특히 심해지는 시간대가 따로 있으신가요?

민원인: 그게 참 요상혀요. 낮에는 그런대로 견딜 만한데, 새벽만 되면 아주 지독하게 심해지드만요. 잠도 설칠 정도라 아주 힘드오.

상담원: 새벽에 특히 심해진다는 말씀이시군요. 혹시 냄새가 어디에서 나는 것 같은지 짐작 가는 곳이 있으실까요?

민원인: 어데서 나는지는 나도 딱 꼬집을 순 없소. 근데 새벽에 그러는 거 보면 어데 음식물 수거하는 데나 처리하는 데가 있나 싶으오. 좀 빨리 알아봐 주소.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
6,경상도,중구,라이프아파트 맞은편,퇴비 썩는 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 중구 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여보세요. 우리 동네에 냄새가 하도 심해가꼬 전화했심더. 도저히 못 살겠어예.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새가 나는지 조금 더 자세히 말씀해 주시겠어요?

민원인: 뭐라캐야 되노, 꼭 퇴비 썩는 그런 냄새라예. 두엄 삭은 그 쿰쿰한 냄새 있잖심꺼. 코를 못 대겠어예.

상담원: 알겠습니다. 지금 계신 위치가 어디쯤 되시는지 말씀해 주시겠어요?

민원인: 라이프아파트 있잖심꺼, 그 맞은편에 살고 있어예. 창문만 열믄 냄새가 확 들어와가꼬 아주 죽겠심더.

상담원: 네, 라이프아파트 맞은편이시군요. 그 냄새가 계속 이어지는지, 아니면 특정 시간에 더 심해지는지 혹시 느끼신 점이 있으실까요?

민원인: 그기 딱 언제라고는 몬 하겠는데, 어떤 때는 좀 덜하다가도 또 확 진하게 올라올 때가 있어예. 참말로 신경이 쓰이가꼬.

상담원: 그러셨군요. 혹시 냄새가 어디서 나는지 짐작 가는 곳이 있으신가요?

민원인: 그건 내도 잘 모르겠심더. 그냥 바람 불믄 어데선가 확 넘어오는데, 어데가 근원인지는 못 찾겠어예. 얼른 좀 봐주이소.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
7,전라도,무안군,남악오룡마을휴먼시아2단지 앞,사료 발효 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 무안군 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여그 남악오룡마을휴먼시아2단지 앞인디, 요새 이상한 냄새가 나서 전화혔어라. 아침부터 코를 찌르는디 아주 못살겄당께.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 뭐랄까, 사료 같은 거 발효되는 냄새라고 혀야 쓰까. 짐승 먹이 삭힌 것맹키로 쿰쿰허니 시큼헌 냄새가 확 올라와라.

상담원: 사료 발효 냄새로 이해했습니다. 지금 계신 곳이 휴먼시아2단지 정문 앞쪽이 맞으신가요?

민원인: 맞어라, 딱 단지 앞이여. 산책허러 나왔다가 냄새 땜시 도로 들어가불었당께. 창문도 못 열어놓겄어.

상담원: 많이 불편하셨겠습니다. 혹시 냄새가 어디서 흘러오는지 짐작 가는 방향이나 장소가 있으신가요?

민원인: 그거를 나도 잘 모르겄어라. 어디서 오는지 딱 짚을 수가 없구마. 그냥 바람 불면 훅 하고 몰려온다니께.

상담원: 알겠습니다. 그럼 정확한 발생원은 저희가 현장에서 확인해 보겠습니다. 연락 가능한 번호 하나 남겨 주시겠어요?

민원인: 잉, 알았어라. 번호는 알려줄 텡께 얼른 좀 와서 봐주씨요. 냄새 땜시 아조 죽겄단 말이여.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
8,제주도,제주시,뜨란채아파트214동 앞,생선 내장 냄새,갑자기 심해졌다가 금방 약해짐,미언급,미언급,"상담원: 안녕하세요. 제주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아이고, 여기 냄새가 하도 지독행 전화했수다. 무신 썩은 냄새가 코를 찌르난 도저히 못 살키여.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 구체적으로 말씀해 주실 수 있을까요?

민원인: 게난 이게 무신 생선 내장 썩은 것추룩 비린내가 확 올라와마씸. 속이 다 울렁거령 밥도 못 먹으키여.

상담원: 생선 내장 같은 비린내가 나신다는 말씀이시군요. 지금 계신 위치를 알려주시겠어요?

민원인: 예, 나 지금 뜨란채아파트 214동 앞이라마씸. 이디서 나가젠 허민 냄새가 확 밀려오난 문도 못 열키여.

상담원: 네, 뜨란채아파트 214동 앞으로 확인하겠습니다. 냄새가 계속 이어지나요, 아니면 강도에 변화가 있나요?

민원인: 그게 좀 요상헌게, 갑자기 확 심해졍 숨도 못 쉴 정도라난 또 금방 약해져불곡 헙주. 이추룩 왔다갔다 허난 더 신경 쓰염수다.

상담원: 그러시군요. 혹시 냄새가 어느 방향에서 나는지 짐작 가는 곳이 있으신가요?

민원인: 아이고, 그건 나도 잘 모르쿠다. 어디서 시작되는 건지 도무지 감이 안 잡히난 답답허우다.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
9,충청도,당진시,당진석문LH천년나무3단지,경유 냄새,미언급,미언급,미언급,"상담원: 안녕하세요. 당진시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아, 예. 여기 당진석문LH천년나무3단지 사는 사람인디유. 아파트 안에서 기름 냄새가 하도 심하게 나서 전화혔슈.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 좀 더 자세히 말씀해 주실 수 있을까요?

민원인: 뭐랄까, 경유 냄새 있잖유. 주유소서 나는 그 기름 냄새 같은 거. 콧속이 확 매캐혀유.

상담원: 네, 경유 냄새로 확인하겠습니다. 지금 계신 위치가 천년나무3단지 어느 동쯤이신지 알 수 있을까요?

민원인: 우리 집이 단지 안쪽 동인디, 창문 열어놓으믄 온 집안에 냄새가 배는 거유. 애들이 있어서 여간 걱정되는 게 아니여유.

상담원: 그러시군요. 혹시 이 냄새가 하루 중 특정 시간대에 더 심해지거나 하진 않으셨나요?

민원인: 글쎄유, 시간은 딱 짚기가 어렵구먼유. 그냥 어느 순간 훅 올라올 때가 있어유. 언제부텀 이랬는지도 잘 모르겄구.

상담원: 알겠습니다. 그럼 냄새가 어디서 흘러오는지 짐작 가는 곳은 없으셨을까요?

민원인: 그건 나두 잘 모르겄슈. 어디서 이런 게 넘어오는지 원, 답답혀 죽겄네유. 얼른 좀 알아봐 주셔유.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
10,강원도,원주시,반곡동 벽산블루밍아파트,잔반 썩는 냄새,시간이 지날수록 심해짐,미언급,미언급,"상담원: 안녕하세요. 원주시 기후대기과 악취 대응팀입니다. 어떤 도움을 드릴까요?

민원인: 아, 예. 여기 반곡동 벽산블루밍아파트에 사는데요, 요새 냄새 때문에 아주 골치가 아파요. 집 안에 있어도 코를 찌르는 게 참 못 살겠소.

상담원: 불편을 드려 죄송합니다. 어떤 종류의 냄새인지 조금 더 자세히 말씀해 주시겠어요?

민원인: 그게 말이래요, 무슨 잔반 썩는 냄새 같더라구요. 음식물쓰레기 오래 놔둔 것처럼 시큼하게 쉰내가 확 올라오니까 아주 속이 다 메스꺼워요.

상담원: 그러셨군요. 지금 계신 곳이 반곡동 벽산블루밍아파트 맞으신가요? 혹시 동이나 층수도 말씀해 주실 수 있을까요?

민원인: 맞소. 벽산블루밍이고, 내가 사는 데는 저층이라 그런지 냄새가 더 심하게 들어오는 것 같애요. 창문을 못 열겠어요, 아주.

상담원: 알겠습니다. 그 냄새가 하루 중 특정 시간에 더 심해지는지, 아니면 계속 일정한지 궁금합니다.

민원인: 아침에는 그냥저냥한데, 시간이 지날수록 점점 더 지독해지잖소. 저녁 되면 아주 코를 막아야 될 정도로 심하니 참 답답하우야.

상담원: 그러면 냄새가 어느 방향에서 오는지, 혹시 짐작 가는 곳이 있으신가요?

민원인: 그건 잘 모르겠소. 어디서 오는 건지 원, 하도 여기저기 퍼져서 딱 집어 말은 못 하겠네요. 그냥 좀 빨리 어떻게 해줬으면 싶어요.

상담원: 알겠습니다. 말씀해 주신 정보를 바탕으로 신속히 확인하고 조치하겠습니다. 감사합니다."
